Analog Data (All Points),,,,,,
"Memphis TN, City of - Gayoso+Pump+Station",,,,,,
6 Oct 2025 - 11 Oct 2025,,,,,,

,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
Date/Time,Flow Rate (GPM),Wet Well Level (Feet),Wet Well Level - Sea Level (Feet),Pump 1 Effluent Flow (GPM),Pump 2 Effluent Flow (GPM),Pump 3 Effluent Flow (GPM)
9 Oct 2025 03:42:28 PM,-287,14.18,209.06,-13,-13,-13
9 Oct 2025 03:40:28 PM,-287,14.18,208.92,-13,-13,-13
9 Oct 2025 03:38:28 PM,-223,13.96,208.85,-13,-13,-13
9 Oct 2025 03:36:28 PM,-223,14.03,208.92,-13,-13,-13
9 Oct 2025 03:34:28 PM,-223,14.18,209.06,-13,-13,-13
9 Oct 2025 03:32:28 PM,-223,14.33,209.21,-13,-13,-13
9 Oct 2025 03:30:28 PM,-223,14.26,209.14,-13,-13,-13
9 Oct 2025 03:28:28 PM,"1,879",13.67,208.56,"2,406",-13,-13
9 Oct 2025 03:28:27 PM,"2,197",13.74,208.56,"2,406",-13,-13
9 Oct 2025 03:26:28 PM,"11,623",13.67,208.49,"11,491",-13,-13
9 Oct 2025 03:24:28 PM,"11,623",13.67,208.49,"11,544",-13,-13
9 Oct 2025 03:22:28 PM,"11,878",13.74,208.56,"11,732",-13,-13
9 Oct 2025 03:20:28 PM,"11,878",13.74,208.63,"11,759",-13,-13
9 Oct 2025 03:18:28 PM,"11,878",13.74,208.63,"11,732",-13,-13
9 Oct 2025 03:16:28 PM,"12,133",13.74,208.70,"12,001",-13,-13
9 Oct 2025 03:14:28 PM,"12,133",13.89,208.70,"12,001",-13,-13
9 Oct 2025 03:12:28 PM,"12,324",13.89,208.78,"12,216",-13,-13
9 Oct 2025 03:10:28 PM,"12,451",13.96,208.78,"12,351",-13,-13
9 Oct 2025 03:08:28 PM,"12,579",13.96,208.85,"12,378",-13,-13
9 Oct 2025 03:06:28 PM,"12,961",14.18,208.92,"12,700",-13,-13
9 Oct 2025 03:04:28 PM,"12,897",14.03,208.92,"12,700",-13,-13
9 Oct 2025 03:02:28 PM,"12,897",14.18,208.99,"12,808",-13,-13
9 Oct 2025 03:00:28 PM,"12,897",14.18,208.99,"12,727",-13,-13
9 Oct 2025 02:58:28 PM,"12,897",14.18,208.99,"12,727",-13,-13
9 Oct 2025 02:56:28 PM,"12,961",14.18,208.99,"12,861",-13,-13
9 Oct 2025 02:54:28 PM,"12,897",14.18,208.92,"12,727",-13,-13
9 Oct 2025 02:52:28 PM,"13,025",14.03,208.92,"12,888",-13,-13
9 Oct 2025 02:50:28 PM,"13,916",14.18,209.14,"13,829",-13,-13
9 Oct 2025 02:49:36 PM,-287,14.55,209.50,-13,-13,-13
9 Oct 2025 02:48:28 PM,-159,14.62,209.42,-13,-13,-13
9 Oct 2025 02:46:28 PM,-223,14.55,209.42,-13,-13,-13
9 Oct 2025 02:44:28 PM,-223,14.48,209.35,-13,-13,-13
9 Oct 2025 02:42:28 PM,-223,14.48,209.28,-13,-13,-13
9 Oct 2025 02:40:28 PM,-287,14.33,209.28,-13,-13,-13
9 Oct 2025 02:38:28 PM,-223,14.48,209.28,-13,-13,-13
9 Oct 2025 02:36:28 PM,-287,14.33,209.21,-13,-13,-13
9 Oct 2025 02:34:28 PM,-287,14.26,209.21,-13,-13,-13
9 Oct 2025 02:32:28 PM,-287,14.18,209.06,-13,-13,-13
9 Oct 2025 02:30:28 PM,-287,14.03,208.92,-13,-13,-13
9 Oct 2025 02:28:28 PM,-287,13.96,208.85,-13,-13,-13
9 Oct 2025 02:26:28 PM,-223,13.96,208.78,-13,-13,-13
9 Oct 2025 02:24:28 PM,-287,14.03,208.85,-13,-13,-13
9 Oct 2025 02:22:28 PM,-223,14.26,209.06,-13,-13,-13
9 Oct 2025 02:20:28 PM,-223,14.26,209.14,-13,-13,-13
9 Oct 2025 02:18:28 PM,-223,13.96,208.78,-13,-13,-13
9 Oct 2025 02:17:34 PM,"1,688",13.67,208.49,-13,-13,"3,051"
9 Oct 2025 02:16:28 PM,"10,286",13.67,208.49,-13,-13,"10,200"
9 Oct 2025 02:14:28 PM,"10,477",13.67,208.49,-13,-13,"10,389"
9 Oct 2025 02:12:28 PM,"10,604",13.52,208.56,-13,-13,"10,550"
9 Oct 2025 02:10:28 PM,"10,795",13.67,208.56,-13,-13,"10,765"
