ip_address,idcs,iess,sid,zd,shortdesc,rjn_siteid,rjn_entityid,rjn_name
172.19.4.127,M100FI,M100FI.UNIT0@NET0,2308,Maxson,INFLU,64c5c5ac-04ca-4a08-bdce-5327e4b21bc5,s199,Influent
172.19.4.127,FI8001,FI8001.UNIT0@NET0,8528,Maxson,EFF,64c5c5ac-04ca-4a08-bdce-5327e4b21bc5,s198,Effluent
172.19.4.128,I-5005A,I-5005A.UNIT1@NET1,5392,WWTF,INFLU,eefe228a-39a2-4742-a9e3-c07314544ada,s200,Influent
172.19.4.128,FI-405/415,FI-405/415.UNIT1@NET1,3550,WWTF,EFF,eefe228a-39a2-4742-a9e3-c07314544ada,s197,Effluent


