timestamp,sid,shortdesc,rjn_siteid,rjn_entityid,value,,,
2025-03-06T00:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,57.88965225,,,
2025-03-06T00:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,58.49438858,,,
2025-03-06T00:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.45130157,,,
2025-03-06T00:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.26383591,,,
2025-03-06T00:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.32213593,,,
2025-03-06T00:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,58.55675125,,,
2025-03-06T01:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.02931595,,,
2025-03-06T01:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.35142136,,,
2025-03-06T01:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.26139832,,,
2025-03-06T01:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.68681335,,,
2025-03-06T01:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.3913002,,,
2025-03-06T01:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.72114944,,,
2025-03-06T01:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,62.69955063,,,
2025-03-06T01:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,62.23232651,,,
2025-03-06T01:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,60.03099823,,,
2025-03-06T01:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,58.95996857,,,
2025-03-06T01:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,58.82735825,,,
2025-03-06T01:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.01298523,,,
2025-03-06T02:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,58.84503174,,,
2025-03-06T02:05:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.07915115,,,
2025-03-06T02:10:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.37139893,,,
2025-03-06T02:15:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.61119843,,,
2025-03-06T02:20:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.67351151,,,
2025-03-06T02:25:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.36194611,,,
2025-03-06T02:30:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,60.44742584,,,
2025-03-06T02:35:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,58.97861481,,,
2025-03-06T02:40:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.22145081,,,
2025-03-06T02:45:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.25743866,,,
2025-03-06T02:50:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,59.07487488,,,
2025-03-06T02:55:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,60.37827301,,,
2025-03-06T03:00:00,8528,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,198,60.55867386,,,
