,,\I-0300A.UNIT1@NET1\,\I-5005A.UNIT1@NET1\,\FI-405/415.UNIT1@NET1\
Date,,VALUE(\I-0300A.UNIT1@NET1\),VALUE(\I-5005A.UNIT1@NET1\),VALUE(\FI-405/415.UNIT1@NET1\)
8/31/2024,2024-08-31T07:00:00,182.9138184,61.86929321,58.77058411
8/31/2024,2024-08-31T08:00:00,183.6607361,69.86108398,47.56470871
8/31/2024,2024-08-31T09:00:00,183.5057068,64.71041107,56.82452774
8/31/2024,2024-08-31T10:00:00,183.5084076,64.2540741,49.39634323
8/31/2024,2024-08-31T11:00:00,183.5615082,67.92045593,56.02409744
8/31/2024,2024-08-31T12:00:00,183.5998688,67.828125,47.84471512
8/31/2024,2024-08-31T13:00:00,183.7951355,74.67704773,58.67753983
8/31/2024,2024-08-31T14:00:00,183.6111298,67.36974335,54.12973404
8/31/2024,2024-08-31T15:00:00,183.850708,78.40022278,59.7233696
8/31/2024,2024-08-31T16:00:00,183.7470856,72.36872101,61.84278488
8/31/2024,2024-08-31T17:00:00,183.8712769,78.83888245,61.50450897
8/31/2024,2024-08-31T18:00:00,183.7669373,75.17420197,61.68835831
8/31/2024,2024-08-31T19:00:00,183.7266388,96.38759613,64.31781769
8/31/2024,2024-08-31T20:00:00,182.8146057,70.82971191,82.74121094
8/31/2024,2024-08-31T21:00:00,182.9567566,89.26269531,65.78211975
8/31/2024,2024-08-31T22:00:00,182.8343201,72.17488098,66.67540741
8/31/2024,2024-08-31T23:00:00,182.9194641,85.7201004,64.263237
9/1/2024,2024-09-01T00:00:00,182.786377,69.06295776,57.25
9/1/2024,2024-09-01T01:00:00,182.9524841,86.98130035,64.26742554
9/1/2024,2024-09-01T02:00:00,182.7779236,66.29056549,60.10908508
9/1/2024,2024-09-01T03:00:00,182.854599,75.00077057,56.83068085
9/1/2024,2024-09-01T04:00:00,182.6999817,61.55235291,56.44075775
9/1/2024,2024-09-01T05:00:00,183.3747864,65.86394501,46.70632553
9/1/2024,2024-09-01T06:00:00,183.192215,60.16097641,48.71579361
9/1/2024,2024-09-01T07:00:00,183.3058777,63.80799484,42.78879166
9/1/2024,2024-09-01T08:00:00,182.8393097,49.16740799,43.68847656
9/1/2024,2024-09-01T09:00:00,183.1961365,60.67928696,36.80787277
9/1/2024,2024-09-01T10:00:00,183.0421448,55.49188995,45.7703476
9/1/2024,2024-09-01T11:00:00,182.9290009,52.10955048,36.15512085
9/1/2024,2024-09-01T12:00:00,183.1523285,60.54462814,46.13962936
9/1/2024,2024-09-01T13:00:00,183.2143555,61.85184097,46.375
9/1/2024,2024-09-01T14:00:00,183.4794159,70.51524353,52.5892868
9/1/2024,2024-09-01T15:00:00,183.1725006,61.00048447,51.79216766
9/1/2024,2024-09-01T16:00:00,183.889679,81.10582733,56.6389389
9/1/2024,2024-09-01T17:00:00,183.4858704,69.6962738,62.81626511
9/1/2024,2024-09-01T18:00:00,184.0277405,81.54562378,60.88898468
9/1/2024,2024-09-01T19:00:00,183.4621277,69.90193176,62.09134674
9/1/2024,2024-09-01T20:00:00,184.0426178,81.61528015,63.56540298
9/1/2024,2024-09-01T21:00:00,183.4795837,67.62454224,63.28804398
9/1/2024,2024-09-01T22:00:00,183.9276123,80.73019409,60.9743576
9/1/2024,2024-09-01T23:00:00,183.6013641,72.59648895,61.19944
9/2/2024,2024-09-02T00:00:00,183.8097839,77.65762329,63.5929451
9/2/2024,2024-09-02T01:00:00,183.5126038,70.21981049,60.03522873
9/2/2024,2024-09-02T02:00:00,183.6155548,73.02222443,63.12693405
9/2/2024,2024-09-02T03:00:00,183.4838715,69.5474472,55.79838562
9/2/2024,2024-09-02T04:00:00,183.4584198,69.40574646,57.35757446
9/2/2024,2024-09-02T05:00:00,183.3554993,65.03697205,49.82745361
9/2/2024,2024-09-02T06:00:00,183.1740723,59.80825806,53.42259598
9/2/2024,2024-09-02T07:00:00,183.2704315,63.92401123,45.78808212
9/2/2024,2024-09-02T08:00:00,182.976181,53.68047714,48.34832001
9/2/2024,2024-09-02T09:00:00,183.2285309,62.13614273,41.40108109
9/2/2024,2024-09-02T10:00:00,183.0366364,56.04438782,44.40533447
9/2/2024,2024-09-02T11:00:00,183.1912537,62.1756134,43.66792297
9/2/2024,2024-09-02T12:00:00,183.0260468,55.01170731,46.00246048
9/2/2024,2024-09-02T13:00:00,183.4669342,69.26137543,47.05342102
9/2/2024,2024-09-02T14:00:00,183.1687927,61.17948914,50.56910706
9/2/2024,2024-09-02T15:00:00,183.7765503,77.91802216,53.69605255
9/2/2024,2024-09-02T16:00:00,183.3898621,68.11727905,59.89416504
9/2/2024,2024-09-02T17:00:00,183.9600067,82.07315063,58.95557404
9/2/2024,2024-09-02T18:00:00,183.5024567,70.13950348,60.08695602
9/2/2024,2024-09-02T19:00:00,183.9659729,81.65533447,62.71557617
9/2/2024,2024-09-02T20:00:00,183.6290588,74.7642746,60.17731476
9/2/2024,2024-09-02T21:00:00,184.0153961,82.57463074,65.63719177
9/2/2024,2024-09-02T22:00:00,183.6880646,75.53145599,61.61307144
9/2/2024,2024-09-02T23:00:00,184.0499878,81.6708374,66.61641693
9/3/2024,2024-09-03T00:00:00,184.1453552,82.29768372,85.9318924
9/3/2024,2024-09-03T01:00:00,182.879364,78.94439697,75.30627441
9/3/2024,2024-09-03T02:00:00,182.9139404,85.23942566,64.97135162
9/3/2024,2024-09-03T03:00:00,182.776535,70.02952576,66.02900696
9/3/2024,2024-09-03T04:00:00,182.8723602,77.74051666,55.75064468
9/3/2024,2024-09-03T05:00:00,182.7182465,62.71707153,58.875
9/3/2024,2024-09-03T06:00:00,183.2509003,63.87509537,48.21213531
9/3/2024,2024-09-03T07:00:00,183.0684204,58.51499557,51.84401703
9/3/2024,2024-09-03T08:00:00,183.1167145,58.85113144,43.09875107
9/3/2024,2024-09-03T09:00:00,183.441803,68.58335114,52.9609108
9/3/2024,2024-09-03T10:00:00,183.6928558,75.79698944,50.36424255
9/3/2024,2024-09-03T11:00:00,183.5814667,71.80040741,59.10387802
9/3/2024,2024-09-03T12:00:00,183.6260529,73.74499512,52.83662415
9/3/2024,2024-09-03T13:00:00,183.5075989,70.91905212,49.19230652
9/3/2024,2024-09-03T14:00:00,183.6924133,75.87210846,37.13899994
9/3/2024,2024-09-03T15:00:00,183.643219,73.7667923,60.90748596
9/3/2024,2024-09-03T16:00:00,183.6102753,73.1819458,55.29046631
9/3/2024,2024-09-03T17:00:00,183.5887146,72.57223511,62
9/3/2024,2024-09-03T18:00:00,183.7208099,76.82106018,55.375
9/3/2024,2024-09-03T19:00:00,183.4388428,69.41114044,61.24570465
9/3/2024,2024-09-03T20:00:00,183.5921783,73.63700104,55.1540451
9/3/2024,2024-09-03T21:00:00,183.6468048,74.01319885,61.21901703
9/3/2024,2024-09-03T22:00:00,183.7160034,76.30792236,55.5
9/3/2024,2024-09-03T23:00:00,183.5766754,72.24935913,63.25301361
9/4/2024,2024-09-04T00:00:00,183.9268036,80.88166046,61.48407745
9/4/2024,2024-09-04T01:00:00,183.6627655,74.1242981,64.51699829
9/4/2024,2024-09-04T02:00:00,183.9057617,79.39360046,59.77990723
9/4/2024,2024-09-04T03:00:00,183.5852203,72.42017365,64.51355743
9/4/2024,2024-09-04T04:00:00,183.4559479,69.106987,56.96767807
9/4/2024,2024-09-04T05:00:00,183.3852386,67.41527557,59.41345978
9/4/2024,2024-09-04T06:00:00,183.4326324,68.35134125,49.05392075
9/4/2024,2024-09-04T07:00:00,183.0044098,55.44306183,52.98397446
9/4/2024,2024-09-04T08:00:00,183.118927,60.40685272,40.12285233
9/4/2024,2024-09-04T09:00:00,182.8471375,49.95129776,43.6153183
9/4/2024,2024-09-04T10:00:00,183.4310913,69.39116669,50.67125702
9/4/2024,2024-09-04T11:00:00,183.1147919,59.93804932,53.25235748
9/4/2024,2024-09-04T12:00:00,183.6190948,73.60840607,55.13218307
9/4/2024,2024-09-04T13:00:00,183.4620361,70.13127136,61.96364212
9/4/2024,2024-09-04T14:00:00,183.6455536,75.66043091,56.04807663
