Analog Data (5 min Samples),,,,,,
"Memphis TN, City of - Gayoso+Pump+Station",,,,,,
6 Nov 2025 - 6 Nov 2025,,,,,,

,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
Date/Time,Flow Rate (GPM),Wet Well Level (Feet),Wet Well Level - Sea Level (Feet),Pump 1 Effluent Flow (GPM),Pump 2 Effluent Flow (GPM),Pump 3 Effluent Flow (GPM)
6 Nov 2025 11:55:00 PM,-159,13.96,208.78,-13,-13,-13
6 Nov 2025 11:50:00 PM,-223,13.96,208.85,-13,-13,-13
6 Nov 2025 11:45:00 PM,"9,458",13.67,208.49,"9,394",-13,-13
6 Nov 2025 11:40:00 PM,"9,840",13.89,208.56,"9,743",-13,-13
6 Nov 2025 11:35:00 PM,"9,967",13.89,208.70,"9,878",-13,-13
6 Nov 2025 11:30:00 PM,"10,350",13.96,208.78,"10,308",-13,-13
6 Nov 2025 11:25:00 PM,"10,604",13.96,208.85,"10,550",-13,-13
6 Nov 2025 11:20:00 PM,"11,050",13.96,208.92,"10,819",-13,-13
6 Nov 2025 11:15:00 PM,"11,114",14.18,208.99,"11,007",-13,-13
6 Nov 2025 11:10:00 PM,"11,114",14.26,209.06,"11,034",-13,-13
6 Nov 2025 11:05:00 PM,"11,178",14.03,208.99,"11,060",-13,-13
6 Nov 2025 11:00:00 PM,-287,14.55,209.42,-13,-13,-13
6 Nov 2025 10:55:00 PM,-223,14.55,209.35,-13,-13,-13
6 Nov 2025 10:50:00 PM,-287,14.33,209.21,-13,-13,-13
6 Nov 2025 10:45:00 PM,-223,14.33,209.21,-13,-13,-13
6 Nov 2025 10:40:00 PM,-223,14.26,209.06,-13,-13,-13
6 Nov 2025 10:35:00 PM,-287,13.96,208.78,-13,-13,-13
6 Nov 2025 10:30:00 PM,-287,14.03,208.99,-13,-13,-13
6 Nov 2025 10:25:00 PM,"1,497",13.74,208.56,-13,-13,"1,519"
6 Nov 2025 10:20:00 PM,"9,713",13.74,208.56,-13,-13,"9,636"
6 Nov 2025 10:15:00 PM,"9,840",13.74,208.56,-13,-13,"9,824"
6 Nov 2025 10:10:00 PM,"10,222",13.96,208.70,-13,-13,"10,093"
6 Nov 2025 10:05:00 PM,"10,350",13.89,208.70,-13,-13,"10,308"
6 Nov 2025 10:00:00 PM,"10,732",13.96,208.85,-13,-13,"10,657"
6 Nov 2025 09:55:00 PM,"11,114",14.03,208.92,-13,-13,"11,034"
6 Nov 2025 09:50:00 PM,"11,560",14.18,208.99,-13,-13,"11,464"
6 Nov 2025 09:45:00 PM,"11,687",14.26,209.06,-13,-13,"11,544"
6 Nov 2025 09:40:00 PM,"11,878",14.26,209.06,-13,-13,"11,759"
6 Nov 2025 09:35:00 PM,"11,623",14.18,208.99,-13,-13,"11,491"
